Job Title,Job Description,Years of Experience Required,Certifications/Requirements
Tax Consultant,"Provide tax planning and consulting services for clients, including compliance, due diligence, and tax research.",4 years,CPA or equivalent certification preferred
IT Auditor,"Perform IT audits and assessments, identify risks, and provide recommendations for improvement.",3 years,CISA or equivalent certification preferred
Data Analyst,"Analyze and interpret complex data sets, provide insights, and create visualizations.",2 years,Experience with statistical analysis software preferred
Financial Analyst,"Analyze financial data and provide insights for clients, including forecasting, budgeting, and financial modeling.",3 years,CPA or CFA certification preferred
Cybersecurity Consultant,"Provide cybersecurity services, including risk assessments, penetration testing, and incident response.",3 years,"EJPT, CRTP, CRTO, OSCP or equivalent certification preferred"
Project Manager,"Plan, manage, and execute projects for clients, including scope, budget, and timelines.",4 years,PMP certification preferred
Human Resources Manager,"Manage HR functions for clients, including talent acquisition, performance management, and employee relations.",6 years,PHR or SPHR certification preferred
Forensic Accountant,"Investigate financial crimes, including fraud, embezzlement, and money laundering.",5 years,CFE certification preferred
Marketing Manager,"Develop and implement marketing strategies for clients, including branding, messaging, and digital marketing.",3 years,Experience with marketing automation software preferred
Business Analyst,"Analyze and document business requirements, design solutions, and manage implementation.",3 years,CBAP or equivalent certification preferred
Risk Management Consultant,"Identify, assess, and manage risks for clients, including enterprise risk management, operational risk, and regulatory compliance.",4 years,CRISC or equivalent certification preferred
Management Consultant,"Provide strategic consulting services to clients, including organizational design, process improvement, and change management.",3 years,MBA or equivalent degree preferred
Tax Manager,"Manage tax compliance and consulting services for clients, including research, planning, and audit defense.",4 years,CPA or equivalent certification preferred
Supply Chain Analyst,"Analyze and optimize supply chain operations for clients, including inventory management, logistics, and sourcing.",2 years,Experience with supply chain management software preferred
Sustainability Consultant,"Provide sustainability services for clients, including environmental impact assessments, carbon footprinting, and sustainability reporting.",3 years,LEED or equivalent certification preferred
Financial Services Consultant,"Provide consulting services for financial services clients, including banking, insurance, and investment management.",5 years,"Relevant certifications preferred (e.g. CFP, CFA, CLU)"
Strategy Consultant,"Provide strategic consulting services to clients, including market analysis, competitive intelligence, and business planning.",5 years,MBA or equivalent degree preferred
Data Privacy Consultant,"Provide data privacy and security services for clients, including compliance assessments, data mapping, and policy development.",3 years,CIPP or equivalent certification preferred
Transfer Pricing Consultant,"Provide transfer pricing services for clients, including analysis, planning, and documentation.",5 years,"Relevant certifications preferred (e.g. CMA, CPA)"
Audit Manager,"Manage audit engagements for clients, including planning, execution, and reporting.",6 years,CPA or equivalent certification preferred
Financial Services Risk Management Consultant,"Provide risk management services for financial services clients, including credit risk, market risk, and liquidity risk.",5 years,FRM or equivalent certification preferred
IT Risk Assurance Manager,"Manage IT risk assessments and audits, identify control gaps, and provide recommendations for improvement.",4 years,CISA or equivalent certification preferred
Forensic Technology Consultant,"Provide digital forensics and e-discovery services for clients, including data collection, analysis, and reporting.",3 years,"Relevant certifications preferred (e.g. EnCE, CCFP)"
Mergers and Acquisitions Consultant,"Provide consulting services for mergers, acquisitions, and divestitures, including due diligence, valuation, and integration planning.",5 years,"Relevant certifications preferred (e.g. CFA, CPA)"
Supply Chain Manager,"Manage supply chain operations for clients, including procurement, production planning, and logistics.",4 years,"Relevant certifications preferred (e.g. APICS, CSCP)"
Data Science Consultant,"Apply data science techniques to solve complex business problems for clients, including machine learning, natural language processing, and data visualization.",3 years,Relevant certifications preferred (e.g. Microsoft Certified: Azure Data Scientist Associate)
Tax Technology Consultant,"Provide tax technology services for clients, including process automation, software implementation, and data analytics.",3 years,Relevant certifications preferred (e.g. Certified Information Systems Auditor)
Assurance Senior,"Perform audits and reviews of financial statements for clients, including risk assessment, testing, and reporting.",3 years,CPA or equivalent certification preferred
Environmental Consultant,"Provide environmental consulting services for clients, including compliance, remediation, and sustainability.",3 years,"Relevant certifications preferred (e.g. OSHA 40-hour HAZWOPER, Certified Hazardous Materials Manager)"
International Tax Consultant,"Provide international tax services for clients, including cross-border transactions, transfer pricing, and expatriate tax.",2 years,Relevant certifications preferred (e.g. Chartered Accountant)
IT Strategy Consultant,"Provide IT strategy consulting services for clients, including IT assessments, roadmaps, and governance.",5 years,Relevant certifications preferred (e.g. Certified in the Governance of Enterprise IT)
Valuation Consultant,"Perform valuations of businesses, intangible assets, and financial instruments for clients, including modeling and analysis.",3 years,Relevant certifications preferred (e.g. Accredited in Business Valuation)
Transaction Advisory Services Manager,"Manage transaction advisory services engagements for clients, including due diligence, integration planning, and divestitures.",4 years,Relevant certifications preferred (e.g. Certified M&A Advisor)
