job title,job description,years experience required,certifications/requirements
tax consultant,"provide tax planning consulting services clients, including compliance, due diligence, tax research.",4 years,cpa equivalent certification preferred
auditor,"perform audits assessments, identify risks, provide recommendations improvement.",3 years,cisa equivalent certification preferred
data analyst,"analyze interpret complex data sets, provide insights, create visualizations.",2 years,experience statistical analysis software preferred
financial analyst,"analyze financial data provide insights clients, including forecasting, budgeting, financial modeling.",3 years,cpa cfa certification preferred
cybersecurity consultant,"provide cybersecurity services, including risk assessments, penetration testing, incident response.",3 years,"ejpt, crtp, crto, oscp equivalent certification preferred"
project manager,"plan, manage, execute projects clients, including scope, budget, timelines.",4 years,pmp certification preferred
human resources manager,"manage hr functions clients, including talent acquisition, performance management, employee relations.",6 years,phr sphr certification preferred
forensic accountant,"investigate financial crimes, including fraud, embezzlement, money laundering.",5 years,cfe certification preferred
marketing manager,"develop implement marketing strategies clients, including branding, messaging, digital marketing.",3 years,experience marketing automation software preferred
business analyst,"analyze document business requirements, design solutions, manage implementation.",3 years,cbap equivalent certification preferred
risk management consultant,"identify, assess, manage risks clients, including enterprise risk management, operational risk, regulatory compliance.",4 years,crisc equivalent certification preferred
management consultant,"provide strategic consulting services clients, including organizational design, process improvement, change management.",3 years,mba equivalent degree preferred
tax manager,"manage tax compliance consulting services clients, including research, planning, audit defense.",4 years,cpa equivalent certification preferred
supply chain analyst,"analyze optimize supply chain operations clients, including inventory management, logistics, sourcing.",2 years,experience supply chain management software preferred
sustainability consultant,"provide sustainability services clients, including environmental impact assessments, carbon footprinting, sustainability reporting.",3 years,leed equivalent certification preferred
financial services consultant,"provide consulting services financial services clients, including banking, insurance, investment management.",5 years,"relevant certifications preferred (e.g. cfp, cfa, clu)"
strategy consultant,"provide strategic consulting services clients, including market analysis, competitive intelligence, business planning.",5 years,mba equivalent degree preferred
data privacy consultant,"provide data privacy security services clients, including compliance assessments, data mapping, policy development.",3 years,cipp equivalent certification preferred
transfer pricing consultant,"provide transfer pricing services clients, including analysis, planning, documentation.",5 years,"relevant certifications preferred (e.g. cma, cpa)"
audit manager,"manage audit engagements clients, including planning, execution, reporting.",6 years,cpa equivalent certification preferred
financial services risk management consultant,"provide risk management services financial services clients, including credit risk, market risk, liquidity risk.",5 years,frm equivalent certification preferred
risk assurance manager,"manage risk assessments audits, identify control gaps, provide recommendations improvement.",4 years,cisa equivalent certification preferred
forensic technology consultant,"provide digital forensics e-discovery services clients, including data collection, analysis, reporting.",3 years,"relevant certifications preferred (e.g. ence, ccfp)"
mergers acquisitions consultant,"provide consulting services mergers, acquisitions, divestitures, including due diligence, valuation, integration planning.",5 years,"relevant certifications preferred (e.g. cfa, cpa)"
